Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
LCone,558.90,-10.00,10.00,46.00,1.00,80.00,0.00000,0.00026,0.00250,0.00349,0.00297,0.00190,-0.00580,0.00788,0.00225
MCone,530.30,-10.00,10.00,46.00,1.00,80.00,0.00000,-0.00360,-0.00164,0.00295,0.00381,0.00255,-0.00994,0.00249,0.00370
SCone,420.70,-10.00,10.00,46.00,1.00,80.00,0.00000,0.00384,0.01156,0.00761,0.00712,0.00499,-0.01018,0.01993,0.00591
Melanopsin,480.00,-10.00,10.00,46.00,1.00,80.00,0.20000,0.19800,0.19482,0.00881,0.19771,0.00881,0.17968,0.21430,0.19780
LCone,558.90,-10.00,10.00,47.00,1.00,80.00,0.00000,0.00029,0.00250,0.00351,0.00299,0.00191,-0.00580,0.00794,0.00227
MCone,530.30,-10.00,10.00,47.00,1.00,80.00,0.00000,-0.00385,-0.00164,0.00299,0.00402,0.00268,-0.01069,0.00222,0.00394
SCone,420.70,-10.00,10.00,47.00,1.00,80.00,0.00000,0.00414,0.01156,0.00770,0.00732,0.00516,-0.00997,0.02033,0.00611
Melanopsin,480.00,-10.00,10.00,47.00,1.00,80.00,0.20000,0.19785,0.19482,0.00886,0.19752,0.00886,0.17946,0.21422,0.19763
LCone,558.90,-10.00,10.00,48.00,1.00,80.00,0.00000,0.00031,0.00250,0.00353,0.00301,0.00193,-0.00580,0.00800,0.00228
MCone,530.30,-10.00,10.00,48.00,1.00,80.00,0.00000,-0.00410,-0.00164,0.00305,0.00426,0.00281,-0.01143,0.00194,0.00418
SCone,420.70,-10.00,10.00,48.00,1.00,80.00,0.00000,0.00446,0.01156,0.00782,0.00755,0.00537,-0.00976,0.02073,0.00633
Melanopsin,480.00,-10.00,10.00,48.00,1.00,80.00,0.20000,0.19769,0.19482,0.00891,0.19732,0.00891,0.17923,0.21414,0.19746
LCone,558.90,-10.00,10.00,49.00,1.00,80.00,0.00000,0.00034,0.00250,0.00356,0.00303,0.00194,-0.00580,0.00806,0.00230
MCone,530.30,-10.00,10.00,49.00,1.00,80.00,0.00000,-0.00434,-0.00164,0.00312,0.00452,0.00296,-0.01216,0.00167,0.00443
SCone,420.70,-10.00,10.00,49.00,1.00,80.00,0.00000,0.00477,0.01156,0.00796,0.00781,0.00561,-0.00954,0.02198,0.00657
Melanopsin,480.00,-10.00,10.00,49.00,1.00,80.00,0.20000,0.19753,0.19482,0.00897,0.19711,0.00897,0.17900,0.21406,0.19728
LCone,558.90,-10.00,10.00,50.00,1.00,80.00,0.00000,0.00037,0.00250,0.00358,0.00306,0.00196,-0.00581,0.00812,0.00232
MCone,530.30,-10.00,10.00,50.00,1.00,80.00,0.00000,-0.00459,-0.00164,0.00322,0.00480,0.00311,-0.01289,0.00140,0.00470
SCone,420.70,-10.00,10.00,50.00,1.00,80.00,0.00000,0.00509,0.01156,0.00813,0.00811,0.00588,-0.00932,0.02349,0.00684
Melanopsin,480.00,-10.00,10.00,50.00,1.00,80.00,0.20000,0.19736,0.19482,0.00904,0.19688,0.00904,0.17877,0.21398,0.19708
LCone,558.90,-10.00,10.00,51.00,1.00,80.00,0.00000,0.00040,0.00250,0.00360,0.00309,0.00198,-0.00581,0.00819,0.00234
MCone,530.30,-10.00,10.00,51.00,1.00,80.00,0.00000,-0.00484,-0.00164,0.00333,0.00511,0.00327,-0.01360,0.00112,0.00498
SCone,420.70,-10.00,10.00,51.00,1.00,80.00,0.00000,0.00542,0.01156,0.00833,0.00844,0.00619,-0.00909,0.02504,0.00714
Melanopsin,480.00,-10.00,10.00,51.00,1.00,80.00,0.20000,0.19720,0.19482,0.00912,0.19664,0.00912,0.17853,0.21390,0.19688
LCone,558.90,-10.00,10.00,52.00,1.00,80.00,0.00000,0.00043,0.00250,0.00363,0.00312,0.00200,-0.00581,0.00825,0.00236
MCone,530.30,-10.00,10.00,52.00,1.00,80.00,0.00000,-0.00509,-0.00164,0.00346,0.00544,0.00343,-0.01430,0.00085,0.00527
SCone,420.70,-10.00,10.00,52.00,1.00,80.00,0.00000,0.00575,0.01156,0.00857,0.00882,0.00654,-0.00886,0.02663,0.00747
Melanopsin,480.00,-10.00,10.00,52.00,1.00,80.00,0.20000,0.19703,0.19482,0.00920,0.19637,0.00920,0.17830,0.21381,0.19666
LCone,558.90,-10.00,10.00,53.00,1.00,80.00,0.00000,0.00046,0.00250,0.00366,0.00315,0.00203,-0.00581,0.00832,0.00238
MCone,530.30,-10.00,10.00,53.00,1.00,80.00,0.00000,-0.00533,-0.00164,0.00360,0.00580,0.00359,-0.01499,0.00058,0.00559
SCone,420.70,-10.00,10.00,53.00,1.00,80.00,0.00000,0.00608,0.01156,0.00883,0.00924,0.00692,-0.00862,0.02825,0.00785
Melanopsin,480.00,-10.00,10.00,53.00,1.00,80.00,0.20000,0.19687,0.19482,0.00930,0.19609,0.00930,0.17805,0.21372,0.19642
LCone,558.90,-10.00,10.00,54.00,1.00,80.00,0.00000,0.00049,0.00250,0.00370,0.00318,0.00206,-0.00581,0.00839,0.00241
MCone,530.30,-10.00,10.00,54.00,1.00,80.00,0.00000,-0.00558,-0.00164,0.00375,0.00617,0.00375,-0.01567,0.00032,0.00592
SCone,420.70,-10.00,10.00,54.00,1.00,80.00,0.00000,0.00642,0.01156,0.00912,0.00971,0.00734,-0.00838,0.02991,0.00826
Melanopsin,480.00,-10.00,10.00,54.00,1.00,80.00,0.20000,0.19670,0.19482,0.00940,0.19579,0.00940,0.17721,0.21363,0.19617
LCone,558.90,-10.00,10.00,55.00,1.00,80.00,0.00000,0.00052,0.00250,0.00373,0.00322,0.00210,-0.00581,0.00852,0.00244
MCone,530.30,-10.00,10.00,55.00,1.00,80.00,0.00000,-0.00582,-0.00164,0.00391,0.00657,0.00391,-0.01634,0.00005,0.00627
SCone,420.70,-10.00,10.00,55.00,1.00,80.00,0.00000,0.00676,0.01156,0.00944,0.01022,0.00778,-0.00813,0.03161,0.00873
Melanopsin,480.00,-10.00,10.00,55.00,1.00,80.00,0.20000,0.19652,0.19482,0.00952,0.19546,0.00952,0.17635,0.21354,0.19589
LCone,558.90,-10.00,10.00,56.00,1.00,80.00,0.00000,0.00056,0.00250,0.00377,0.00327,0.00214,-0.00581,0.00877,0.00247
MCone,530.30,-10.00,10.00,56.00,1.00,80.00,0.00000,-0.00606,-0.00164,0.00408,0.00698,0.00408,-0.01700,-0.00022,0.00664
SCone,420.70,-10.00,10.00,56.00,1.00,80.00,0.00000,0.00711,0.01156,0.00979,0.01079,0.00826,-0.00788,0.03334,0.00925
Melanopsin,480.00,-10.00,10.00,56.00,1.00,80.00,0.20000,0.19635,0.19482,0.00965,0.19512,0.00965,0.17548,0.21344,0.19559
LCone,558.90,-10.00,10.00,57.00,1.00,80.00,0.00000,0.00059,0.00250,0.00382,0.00332,0.00218,-0.00581,0.00903,0.00251
MCone,530.30,-10.00,10.00,57.00,1.00,80.00,0.00000,-0.00631,-0.00164,0.00424,0.00741,0.00424,-0.01765,-0.00049,0.00704
SCone,420.70,-10.00,10.00,57.00,1.00,80.00,0.00000,0.00746,0.01156,0.01017,0.01140,0.00877,-0.00763,0.03511,0.00983
Melanopsin,480.00,-10.00,10.00,57.00,1.00,80.00,0.20000,0.19617,0.19482,0.00978,0.19475,0.00978,0.17459,0.21335,0.19526
LCone,558.90,-10.00,10.00,58.00,1.00,80.00,0.00000,0.00063,0.00250,0.00386,0.00337,0.00223,-0.00581,0.00929,0.00255
MCone,530.30,-10.00,10.00,58.00,1.00,80.00,0.00000,-0.00655,-0.00164,0.00441,0.00786,0.00441,-0.01829,-0.00075,0.00746
SCone,420.70,-10.00,10.00,58.00,1.00,80.00,0.00000,0.00781,0.01156,0.01056,0.01207,0.00929,-0.00737,0.03690,0.01048
Melanopsin,480.00,-10.00,10.00,58.00,1.00,80.00,0.20000,0.19600,0.19482,0.00993,0.19435,0.00993,0.17368,0.21325,0.19491
LCone,558.90,-10.00,10.00,59.00,1.00,80.00,0.00000,0.00066,0.00250,0.00391,0.00342,0.00229,-0.00581,0.00957,0.00260
MCone,530.30,-10.00,10.00,59.00,1.00,80.00,0.00000,-0.00679,-0.00164,0.00458,0.00832,0.00458,-0.01892,-0.00102,0.00791
SCone,420.70,-10.00,10.00,59.00,1.00,80.00,0.00000,0.00817,0.01156,0.01099,0.01280,0.00984,-0.00710,0.03874,0.01118
Melanopsin,480.00,-10.00,10.00,59.00,1.00,80.00,0.20000,0.19582,0.19482,0.01009,0.19393,0.01009,0.17276,0.21315,0.19452
LCone,558.90,-10.00,10.00,60.00,1.00,80.00,0.00000,0.00070,0.00250,0.00397,0.00349,0.00235,-0.00581,0.00985,0.00265
MCone,530.30,-10.00,10.00,60.00,1.00,80.00,0.00000,-0.00703,-0.00164,0.00474,0.00880,0.00474,-0.01954,-0.00128,0.00838
SCone,420.70,-10.00,10.00,60.00,1.00,80.00,0.00000,0.00853,0.01156,0.01142,0.01358,0.01039,-0.00683,0.04060,0.01196
Melanopsin,480.00,-10.00,10.00,60.00,1.00,80.00,0.20000,0.19564,0.19482,0.01026,0.19349,0.01026,0.17182,0.21304,0.19411
LCone,558.90,-10.00,10.00,61.00,1.00,80.00,0.00000,0.00083,0.00250,0.00402,0.00355,0.00242,-0.00580,0.01014,0.00271
MCone,530.30,-10.00,10.00,61.00,1.00,80.00,0.00000,-0.00782,-0.00164,0.00490,0.00929,0.00490,-0.02015,-0.00155,0.00887
SCone,420.70,-10.00,10.00,61.00,1.00,80.00,0.00000,0.00977,0.01156,0.01188,0.01442,0.01096,-0.00656,0.04249,0.01280
Melanopsin,480.00,-10.00,10.00,61.00,1.00,80.00,0.20000,0.19502,0.19482,0.01043,0.19302,0.01043,0.17086,0.21294,0.19367
LCone,558.90,-10.00,10.00,62.00,1.00,80.00,0.00000,0.00097,0.00250,0.00408,0.00363,0.00249,-0.00580,0.01044,0.00278
MCone,530.30,-10.00,10.00,62.00,1.00,80.00,0.00000,-0.00860,-0.00164,0.00505,0.00980,0.00505,-0.02075,-0.00181,0.00938
SCone,420.70,-10.00,10.00,62.00,1.00,80.00,0.00000,0.01105,0.01156,0.01234,0.01533,0.01154,-0.00628,0.04441,0.01370
Melanopsin,480.00,-10.00,10.00,62.00,1.00,80.00,0.20000,0.19438,0.19482,0.01062,0.19253,0.01062,0.16989,0.21283,0.19320
LCone,558.90,-10.00,10.00,63.00,1.00,80.00,0.00000,0.00112,0.00250,0.00415,0.00370,0.00257,-0.00580,0.01075,0.00285
MCone,530.30,-10.00,10.00,63.00,1.00,80.00,0.00000,-0.00938,-0.00164,0.00519,0.01032,0.00519,-0.02134,-0.00207,0.00992
SCone,420.70,-10.00,10.00,63.00,1.00,80.00,0.00000,0.01238,0.01156,0.01282,0.01629,0.01211,-0.00600,0.04636,0.01466
Melanopsin,480.00,-10.00,10.00,63.00,1.00,80.00,0.20000,0.19373,0.19482,0.01081,0.19201,0.01081,0.16890,0.21272,0.19270
LCone,558.90,-10.00,10.00,64.00,1.00,80.00,0.00000,0.00128,0.00250,0.00422,0.00378,0.00266,-0.00579,0.01107,0.00292
MCone,530.30,-10.00,10.00,64.00,1.00,80.00,0.00000,-0.01014,-0.00164,0.00525,0.01077,0.00525,-0.02166,-0.00233,0.01046
SCone,420.70,-10.00,10.00,64.00,1.00,80.00,0.00000,0.01375,0.01156,0.01312,0.01708,0.01251,-0.00571,0.04834,0.01567
Melanopsin,480.00,-10.00,10.00,64.00,1.00,80.00,0.20000,0.19305,0.19482,0.01099,0.19155,0.01099,0.16790,0.21261,0.19218
LCone,558.90,-10.00,10.00,65.00,1.00,80.00,0.00000,0.00145,0.00250,0.00429,0.00385,0.00275,-0.00577,0.01139,0.00301
MCone,530.30,-10.00,10.00,65.00,1.00,80.00,0.00000,-0.01089,-0.00164,0.00527,0.01116,0.00527,-0.02181,-0.00259,0.01101
SCone,420.70,-10.00,10.00,65.00,1.00,80.00,0.00000,0.01516,0.01156,0.01337,0.01783,0.01284,-0.00542,0.05035,0.01673
Melanopsin,480.00,-10.00,10.00,65.00,1.00,80.00,0.20000,0.19235,0.19482,0.01115,0.19116,0.01115,0.16688,0.21223,0.19163
LCone,558.90,-10.00,10.00,66.00,1.00,80.00,0.00000,0.00162,0.00250,0.00436,0.00391,0.00284,-0.00574,0.01173,0.00309
MCone,530.30,-10.00,10.00,66.00,1.00,80.00,0.00000,-0.01164,-0.00164,0.00526,0.01154,0.00526,-0.02195,-0.00285,0.01157
SCone,420.70,-10.00,10.00,66.00,1.00,80.00,0.00000,0.01661,0.01156,0.01349,0.01845,0.01306,-0.00512,0.05035,0.01783
Melanopsin,480.00,-10.00,10.00,66.00,1.00,80.00,0.20000,0.19164,0.19482,0.01130,0.19079,0.01130,0.16585,0.21183,0.19108
LCone,558.90,-10.00,10.00,67.00,1.00,80.00,0.00000,0.00181,0.00250,0.00443,0.00397,0.00292,-0.00570,0.01207,0.00318
MCone,530.30,-10.00,10.00,67.00,1.00,80.00,0.00000,-0.01237,-0.00164,0.00523,0.01190,0.00523,-0.02209,-0.00311,0.01213
SCone,420.70,-10.00,10.00,67.00,1.00,80.00,0.00000,0.01811,0.01156,0.01364,0.01913,0.01328,-0.00482,0.05228,0.01894
Melanopsin,480.00,-10.00,10.00,67.00,1.00,80.00,0.20000,0.19090,0.19482,0.01143,0.19045,0.01143,0.16480,0.21172,0.19051
LCone,558.90,-10.00,10.00,68.00,1.00,80.00,0.00000,0.00201,0.00250,0.00449,0.00403,0.00300,-0.00565,0.01242,0.00327
MCone,530.30,-10.00,10.00,68.00,1.00,80.00,0.00000,-0.01310,-0.00164,0.00517,0.01225,0.00517,-0.02222,-0.00337,0.01268
SCone,420.70,-10.00,10.00,68.00,1.00,80.00,0.00000,0.01964,0.01156,0.01373,0.01976,0.01345,-0.00400,0.05421,0.02007
Melanopsin,480.00,-10.00,10.00,68.00,1.00,80.00,0.20000,0.19015,0.19482,0.01155,0.19011,0.01155,0.16373,0.21132,0.18995
LCone,558.90,-10.00,10.00,69.00,1.00,80.00,0.00000,0.00221,0.00250,0.00455,0.00409,0.00308,-0.00559,0.01278,0.00337
MCone,530.30,-10.00,10.00,69.00,1.00,80.00,0.00000,-0.01381,-0.00164,0.00510,0.01257,0.00510,-0.02222,-0.00363,0.01322
SCone,420.70,-10.00,10.00,69.00,1.00,80.00,0.00000,0.02121,0.01156,0.01375,0.02036,0.01354,-0.00370,0.05421,0.02120
Melanopsin,480.00,-10.00,10.00,69.00,1.00,80.00,0.20000,0.18938,0.19482,0.01165,0.18977,0.01165,0.16266,0.21090,0.18938
LCone,558.90,-10.00,10.00,70.00,1.00,80.00,0.00000,0.00243,0.00250,0.00460,0.00414,0.00315,-0.00552,0.01315,0.00346
MCone,530.30,-10.00,10.00,70.00,1.00,80.00,0.00000,-0.01452,-0.00164,0.00502,0.01291,0.00502,-0.02235,-0.00388,0.01374
SCone,420.70,-10.00,10.00,70.00,1.00,80.00,0.00000,0.02282,0.01156,0.01378,0.02100,0.01364,-0.00339,0.05614,0.02232
Melanopsin,480.00,-10.00,10.00,70.00,1.00,80.00,0.20000,0.18859,0.19482,0.01173,0.18944,0.01173,0.16157,0.21046,0.18882
LCone,558.90,-10.00,10.00,71.00,1.00,80.00,0.00000,0.00265,0.00250,0.00464,0.00419,0.00321,-0.00544,0.01352,0.00356
MCone,530.30,-10.00,10.00,71.00,1.00,80.00,0.00000,-0.01521,-0.00164,0.00492,0.01324,0.00492,-0.02235,-0.00414,0.01424
SCone,420.70,-10.00,10.00,71.00,1.00,80.00,0.00000,0.02446,0.01156,0.01373,0.02159,0.01364,-0.00233,0.05614,0.02342
Melanopsin,480.00,-10.00,10.00,71.00,1.00,80.00,0.20000,0.18778,0.19482,0.01179,0.18912,0.01179,0.16134,0.20999,0.18827
LCone,558.90,-10.00,10.00,72.00,1.00,80.00,0.00000,0.00288,0.00250,0.00469,0.00425,0.00328,-0.00535,0.01390,0.00366
MCone,530.30,-10.00,10.00,72.00,1.00,80.00,0.00000,-0.01589,-0.00164,0.00481,0.01357,0.00481,-0.02235,-0.00439,0.01471
SCone,420.70,-10.00,10.00,72.00,1.00,80.00,0.00000,0.02615,0.01156,0.01367,0.02224,0.01363,-0.00194,0.05614,0.02448
Melanopsin,480.00,-10.00,10.00,72.00,1.00,80.00,0.20000,0.18695,0.19482,0.01186,0.18877,0.01186,0.16024,0.20951,0.18774
LCone,558.90,-10.00,10.00,73.00,1.00,80.00,0.00000,0.00312,0.00250,0.00472,0.00429,0.00333,-0.00525,0.01429,0.00375
MCone,530.30,-10.00,10.00,73.00,1.00,80.00,0.00000,-0.01657,-0.00164,0.00469,0.01392,0.00469,-0.02247,-0.00474,0.01517
SCone,420.70,-10.00,10.00,73.00,1.00,80.00,0.00000,0.02786,0.01156,0.01361,0.02293,0.01360,-0.00086,0.05809,0.02551
Melanopsin,480.00,-10.00,10.00,73.00,1.00,80.00,0.20000,0.18610,0.19482,0.01189,0.18843,0.01189,0.15914,0.20900,0.18723
LCone,558.90,-10.00,10.00,74.00,1.00,80.00,0.00000,0.00337,0.00250,0.00473,0.00433,0.00338,-0.00514,0.01429,0.00384
MCone,530.30,-10.00,10.00,74.00,1.00,80.00,0.00000,-0.01723,-0.00164,0.00455,0.01425,0.00455,-0.02247,-0.00508,0.01559
SCone,420.70,-10.00,10.00,74.00,1.00,80.00,0.00000,0.02961,0.01156,0.01345,0.02357,0.01345,0.00027,0.05809,0.02649
Melanopsin,480.00,-10.00,10.00,74.00,1.00,80.00,0.20000,0.18524,0.19482,0.01188,0.18809,0.01188,0.15914,0.20848,0.18675
LCone,558.90,-10.00,10.00,75.00,1.00,80.00,0.00000,0.00363,0.00250,0.00474,0.00436,0.00342,-0.00502,0.01447,0.00393
MCone,530.30,-10.00,10.00,75.00,1.00,80.00,0.00000,-0.01789,-0.00164,0.00439,0.01459,0.00439,-0.02247,-0.00542,0.01599
SCone,420.70,-10.00,10.00,75.00,1.00,80.00,0.00000,0.03140,0.01156,0.01326,0.02425,0.01326,0.00099,0.05809,0.02742
Melanopsin,480.00,-10.00,10.00,75.00,1.00,80.00,0.20000,0.18436,0.19482,0.01186,0.18774,0.01186,0.15904,0.20793,0.18628
LCone,558.90,-10.00,10.00,76.00,1.00,80.00,0.00000,0.00389,0.00250,0.00476,0.00440,0.00347,-0.00490,0.01486,0.00401
MCone,530.30,-10.00,10.00,76.00,1.00,80.00,0.00000,-0.01853,-0.00164,0.00422,0.01495,0.00422,-0.02247,-0.00575,0.01636
SCone,420.70,-10.00,10.00,76.00,1.00,80.00,0.00000,0.03321,0.01156,0.01305,0.02496,0.01305,0.00212,0.05809,0.02830
Melanopsin,480.00,-10.00,10.00,76.00,1.00,80.00,0.20000,0.18346,0.19482,0.01184,0.18738,0.01184,0.15793,0.20736,0.18585
LCone,558.90,-10.00,10.00,77.00,1.00,80.00,0.00000,0.00417,0.00250,0.00474,0.00443,0.00350,-0.00476,0.01486,0.00410
MCone,530.30,-10.00,10.00,77.00,1.00,80.00,0.00000,-0.01916,-0.00164,0.00403,0.01531,0.00403,-0.02259,-0.00640,0.01670
SCone,420.70,-10.00,10.00,77.00,1.00,80.00,0.00000,0.03506,0.01156,0.01282,0.02569,0.01282,0.00329,0.05809,0.02913
Melanopsin,480.00,-10.00,10.00,77.00,1.00,80.00,0.20000,0.18255,0.19482,0.01176,0.18702,0.01176,0.15793,0.20677,0.18544
LCone,558.90,-10.00,10.00,78.00,1.00,80.00,0.00000,0.00445,0.00250,0.00472,0.00445,0.00353,-0.00463,0.01486,0.00417
MCone,530.30,-10.00,10.00,78.00,1.00,80.00,0.00000,-0.01979,-0.00164,0.00383,0.01564,0.00383,-0.02259,-0.00721,0.01701
SCone,420.70,-10.00,10.00,78.00,1.00,80.00,0.00000,0.03694,0.01156,0.01256,0.02644,0.01256,0.00451,0.05809,0.02990
Melanopsin,480.00,-10.00,10.00,78.00,1.00,80.00,0.20000,0.18162,0.19482,0.01166,0.18666,0.01166,0.15793,0.20616,0.18506
LCone,558.90,-10.00,10.00,79.00,1.00,80.00,0.00000,0.00474,0.00250,0.00470,0.00448,0.00356,-0.00450,0.01486,0.00425
MCone,530.30,-10.00,10.00,79.00,1.00,80.00,0.00000,-0.02040,-0.00164,0.00362,0.01597,0.00362,-0.02259,-0.00800,0.01730
SCone,420.70,-10.00,10.00,79.00,1.00,80.00,0.00000,0.03885,0.01156,0.01230,0.02720,0.01230,0.00577,0.05809,0.03062
Melanopsin,480.00,-10.00,10.00,79.00,1.00,80.00,0.20000,0.18067,0.19482,0.01156,0.18629,0.01156,0.15793,0.20553,0.18470
LCone,558.90,-10.00,10.00,80.00,1.00,80.00,0.00000,0.00504,0.00250,0.00467,0.00450,0.00358,-0.00436,0.01486,0.00431
MCone,530.30,-10.00,10.00,80.00,1.00,80.00,0.00000,-0.02100,-0.00164,0.00342,0.01629,0.00342,-0.02259,-0.00879,0.01756
SCone,420.70,-10.00,10.00,80.00,1.00,80.00,0.00000,0.04079,0.01156,0.01203,0.02797,0.01203,0.00708,0.05809,0.03129
Melanopsin,480.00,-10.00,10.00,80.00,1.00,80.00,0.20000,0.17970,0.19482,0.01144,0.18592,0.01144,0.15793,0.20488,0.18437
