Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
MCone,530.30,-10.00,10.00,33.00,1.00,80.00,0.00000,-0.00026,-0.00164,0.00397,0.00336,0.00213,-0.00781,0.00859,0.00193
SCone,420.70,-10.00,10.00,33.00,1.00,80.00,0.00000,0.00024,0.01156,0.00962,0.00816,0.00519,-0.01700,0.02123,0.00451
Melanopsin,480.00,-10.00,10.00,33.00,1.00,80.00,0.20000,0.19987,0.19482,0.01141,0.19925,0.01141,0.17540,0.22028,0.19968
LCone,558.90,-10.00,10.00,34.00,1.00,80.00,0.00000,0.00003,0.00250,0.00453,0.00384,0.00245,-0.00756,0.01039,0.00210
MCone,530.30,-10.00,10.00,34.00,1.00,80.00,0.00000,-0.00052,-0.00164,0.00399,0.00340,0.00215,-0.00803,0.00830,0.00196
SCone,420.70,-10.00,10.00,34.00,1.00,80.00,0.00000,0.00049,0.01156,0.00969,0.00823,0.00526,-0.01689,0.02160,0.00455
Melanopsin,480.00,-10.00,10.00,34.00,1.00,80.00,0.20000,0.19974,0.19482,0.01146,0.19914,0.01146,0.17518,0.22026,0.19955
LCone,558.90,-10.00,10.00,35.00,1.00,80.00,0.00000,0.00004,0.00250,0.00455,0.00386,0.00246,-0.00758,0.01045,0.00211
MCone,530.30,-10.00,10.00,35.00,1.00,80.00,0.00000,-0.00078,-0.00164,0.00402,0.00344,0.00218,-0.00826,0.00815,0.00201
SCone,420.70,-10.00,10.00,35.00,1.00,80.00,0.00000,0.00075,0.01156,0.00976,0.00830,0.00533,-0.01677,0.02197,0.00461
Melanopsin,480.00,-10.00,10.00,35.00,1.00,80.00,0.20000,0.19960,0.19482,0.01151,0.19902,0.01151,0.17495,0.22025,0.19942
